CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402101,Frz Meat Dumpling CH,冷凍肉水餃 中式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402102,Frz Meat Dumpling JP,冷凍肉水餃 日式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402103,Frz Meat Dumpling KO,冷凍肉水餃 韓式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402104,Frz Sfd Dumpling CH,冷凍海鮮餃 中式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402105,Frz Sfd Dumpling JP,冷凍海鮮餃 日式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402106,Frz Sfd Dumpling KO,冷凍海鮮餃 韓式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402107,Frz Pot Sticker CH,冷凍鍋貼 中式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402108,Frz Pot Sticker JP,冷凍鍋貼 日式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402109,Frz Pot Sticker KO,冷凍鍋貼 韓式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402110,Frozen Vege Dumpling,冷凍素水餃 韓式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,21,Dumpling &Popsticker,水餃鍋貼,10402111,Other Frz Dumplings,其他冷凍水餃鍋貼
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,23,Frozen Dim Sum,冷凍包點,10402304,Frz Meat Soup Dpl CH,冷凍含肉小籠包 中式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,23,Frozen Dim Sum,冷凍包點,10402305,Frz Meat Soup Dpl KO,冷凍含肉小籠包 韓式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Dumpling/Wonton,水餃/雲吞,水饺/云吞,23,Frozen Dim Sum,冷凍包點,10402306,Frz Veg Soup Dpl CH,冷凍素小籠包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,31,Chilled Noodle&Bun,冷藏麵點,10303101,Chill Rice Noodle,冷藏米粉粿條河粉 無料包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,31,Chilled Noodle&Bun,冷藏麵點,10303102,Chill Rice Ndl W/SN,冷藏米粉粿條河粉 含料包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,31,Chilled Noodle&Bun,冷藏麵點,10303103,Chill Wheat Noodle,冷藏麵條烏冬 無料包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,31,Chilled Noodle&Bun,冷藏麵點,10303104,Chill Wheat NDL W/SN,冷藏麵條烏冬 含料包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,31,Chilled Noodle&Bun,冷藏麵點,10303105,Chilled Rice Cake,冷藏年糕
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,32,Wrapper&Chill Ingred,餃子皮/冷藏食材,10303201,Chill Dumpling Wrppr,冷藏餃子皮
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,32,Wrapper&Chill Ingred,餃子皮/冷藏食材,10303202,Chill Wonton Wrapper,冷藏雲吞皮
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,32,Wrapper&Chill Ingred,餃子皮/冷藏食材,10303203,Chill Spg Roll Wrppr,冷藏春捲皮
