CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603602,Chinese Prickly Ash,花椒
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603603,Black Pepper,黑胡椒
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603604,White Pepper,白胡椒
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603605,Cumin,孜然
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603606,Fennel,茴香
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603611,Rice Seasoning,香鬆
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603612,Mixed Spices,調味混合佐料 (粉狀)
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603621,Tampico,Tampico品牌香辛料
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603631,Other Spice,其他香料
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,32 ,Sauce,調味醬料,10603261,Hot Pot Condiment Ch,火鍋底料中式
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,32 ,Sauce,調味醬料,10603262,Hot Pot Condiment Jp,火鍋底料日式
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,32 ,Sauce,調味醬料,10603269,Hot Pot Condi Other,火鍋底料其他
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,56 ,Soup,湯底,10605601,Chicken Broth Box,清雞湯盒裝
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,56 ,Soup,湯底,10605602,Chicken Broth Can,清雞湯罐裝
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,56 ,Soup,湯底,10605603,Beef Broth/Stock Box,清牛湯盒裝
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,56 ,Soup,湯底,10605604,Beef Broth/Stock Can,清牛湯罐裝
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,56 ,Soup,湯底,10605611,Vegetable Broth,蔬菜清湯
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,56 ,Soup,湯底,10605621,Bouillon/Soup Mix,濃縮湯底料
Condiments,調料,调料,Soup/Hotpot,湯/火鍋底料,汤/火锅底料,56 ,Soup,湯底,10605631,Other Canned Soup,其他湯底罐頭
Condiments,調料,调料,Curry,咖喱,咖喱,32 ,Sauce,調味醬料,10603241,Curry Japanese Brand,咖喱日系
Condiments,調料,调料,Curry,咖喱,咖喱,32 ,Sauce,調味醬料,10603242,Curry SE Asian Brand,咖喱東南亞系
